,cpi_fah,rdi_adj,home_price,grocery_sales_lag1,covid1,covid2,grocery_sales,grocery_sales_fcst,grocery_sales_se_obs,lower_bound,upper_bound,Actual YOY %,Forecast YOY %,Actual YOY Change,Forecast YOY Change
2007-01-01,195.918,11956.6,182.718,40153.0,0,0,40253.0,40297.157336566066,569.5408296373583,39180.857310476844,41413.45736265529,,,,
2007-02-01,197.735,11996.0,182.471,40253.0,0,0,40646.0,40514.68260567819,568.2339372893063,39400.944088591146,41628.42112276523,,,,
2007-03-01,198.816,12035.1,182.193,40646.0,0,0,40572.0,40843.51545229209,567.3463773766417,39731.516552633875,41955.51435195031,,,,
2007-04-01,199.25,12052.8,182.131,40572.0,0,0,40416.0,40851.43228848687,567.0408541249716,39740.03221440192,41962.83236257181,,,,
2007-05-01,200.237,12059.9,181.885,40416.0,0,0,40740.0,40835.69718739992,566.630406423109,39725.10159081063,41946.292783989215,,,,
2007-06-01,201.151,12053.3,181.54,40740.0,0,0,40870.0,41060.98922651508,565.9406513151058,39951.74554993747,42170.232903092685,,,,
2007-07-01,201.596,12066.4,180.993,40870.0,0,0,41044.0,41168.856557715066,565.4512585060655,40060.57209104318,42277.141024386954,,,,
2007-08-01,202.338,12070.9,180.234,41044.0,0,0,40954.0,41307.21507493941,564.8029542579952,40200.20128459374,42414.228865285084,,,,
2007-09-01,203.3,12089.6,179.122,40954.0,0,0,41095.0,41326.55867421951,564.0750830205991,40220.971511499134,42432.14583693988,,,,
2007-10-01,204.081,12080.4,177.52900000000002,41095.0,0,0,41379.0,41420.69800182205,563.2261602545793,40316.774727723074,42524.621275921025,,,,
2007-11-01,205.119,12070.1,175.16099999999997,41379.0,0,0,41868.0,41597.29849047567,562.0659834862283,40495.64916284266,42698.947818108674,,,,
2007-12-01,205.503,12120.5,173.33700000000002,41868.0,0,0,41998.0,41922.59849471032,561.2199772409366,40822.607339318085,43022.589650102556,,,,
2008-01-01,207.1,12137.1,171.076,41998.0,0,0,42159.0,42084.82758495493,559.9879473816609,40987.25120808688,43182.40396182299,4.735050803666807,4.43621924360087,1906.0,1787.6702483888657
2008-02-01,207.854,12141.8,169.19,42159.0,0,0,42016.0,42200.03366008684,559.3194709010426,41103.767497120796,43296.29982305288,3.3705653692860382,4.15985254237794,1370.0,1685.351054408653
2008-03-01,208.093,12145.9,167.90200000000002,42016.0,0,0,42168.0,42122.68852516443,558.8949497848021,41027.254423586215,43218.12262674264,3.9337474120082705,3.131887788568277,1596.0,1279.1730728723342
2008-04-01,210.897,12100.8,167.321,42168.0,0,0,42584.0,42329.83080803846,558.2679506116026,41235.62562483972,43424.0359912372,5.364212193190809,3.618963734518177,2168.0,1478.3985195515925
2008-05-01,211.8,12696.2,167.019,42584.0,0,0,42549.0,43311.81944132124,557.6768637065396,42218.77278845642,44404.86609418606,4.440353460972024,6.063621841836309,1809.0,2476.1222539213195
2008-06-01,213.331,12376.6,166.53599999999997,42549.0,0,0,42683.0,43011.58484494213,557.0692262500991,41919.72916149194,44103.440528392326,4.4360166381208765,4.750483744233458,1813.0,1950.5956184270544
2008-07-01,216.028,12188.7,165.713,42683.0,0,0,42899.0,43030.57551199724,557.0053123422681,41938.84509980639,44122.305924188084,4.519540005847378,4.522153661645212,1855.0,1861.7189542821725
2008-08-01,217.449,12120.6,164.27700000000002,42899.0,0,0,43063.0,43141.46884513057,556.7764455687396,42050.18701181584,44232.7506784453,5.149680128925138,4.440516667278249,2109.0,1834.253770191157
2008-09-01,218.757,12149.0,161.912,43063.0,0,0,42834.0,43315.51711018106,556.2738239320518,42225.22041527424,44405.813805087884,4.231658352597645,4.812785046150747,1739.0,1988.9584359615546
2008-10-01,219.532,12240.5,159.162,42834.0,0,0,42768.0,43306.84695488819,556.1834905572308,42216.72731339602,44396.96659638036,3.3567751758138087,4.553638745979538,1389.0,1886.148953066142
2008-11-01,219.662,12345.9,156.071,42768.0,0,0,42496.0,43356.12877789497,556.0638198504106,42266.243690988165,44446.013864801775,1.499952230820667,4.228232003628829,628.0,1758.8302874193032
2008-12-01,219.163,12288.8,152.54399999999998,42496.0,0,0,42136.0,43053.518057148736,555.9200074428395,41963.91484256077,44143.1212717367,0.3285870755750375,2.6976370813014183,138.0,1130.9195624384156
2009-01-01,218.953,12361.5,149.361,42136.0,0,0,42771.0,42879.212111221634,556.6305753485091,41788.216183538556,43970.20803890471,1.4516473350886017,1.8875793768267535,612.0,794.3845262667019
2009-02-01,217.93,12241.9,147.61700000000002,42771.0,0,0,42101.0,42993.3553745655,554.8133421634591,41905.92122392512,44080.78952520588,0.20230388423456702,1.879907776540457,85.0,793.3217144786613
2009-03-01,216.949,12242.7,146.514,42101.0,0,0,42069.0,42545.04092690682,555.3166175939364,41456.6203564227,43633.461497390934,-0.23477518497438954,1.0026719958534436,-99.0,422.3524017423915
2009-04-01,215.807,12320.0,146.942,42069.0,0,0,42288.0,42549.12455057746,555.2567930545833,41460.82123619047,43637.42786496444,-0.6950967499530392,0.5180595772600105,-296.0,219.29374253899732
2009-05-01,215.064,12500.1,148.16899999999998,42288.0,0,0,42300.0,42850.03595318426,555.2945678737568,41761.6586001517,43938.413306216826,-0.5852076429528341,-1.066183536257581,-249.0,-461.7834881369781
2009-06-01,214.953,12273.2,149.796,42300.0,0,0,42530.0,42607.68450937632,555.0005687682419,41519.883394590564,43695.48562416207,-0.35845652836024033,-0.9390501117824024,-153.0,-403.9003355658133
2009-07-01,214.047,12218.7,150.748,42530.0,0,0,42480.0,42624.454815158584,555.0379273609962,41536.58047753103,43712.32915278614,-0.9767127438867984,-0.9437956429967476,-419.0,-406.1206968386541
2009-08-01,213.769,12194.8,150.668,42480.0,0,0,42401.0,42549.38073538264,555.1206896247726,41461.34418371809,43637.417287047196,-1.5372825859786832,-1.372433822022634,-662.0,-592.0881097479287
2009-09-01,213.299,12230.6,149.628,42401.0,0,0,42691.0,42501.21617303181,554.9831508571033,41413.44919735189,43588.98314871173,-0.333846944016436,-1.8799289295748811,-143.0,-814.3009371492517
2009-10-01,213.472,12193.2,148.585,42691.0,0,0,42763.0,42612.15469996579,555.1388880174235,41524.08247945164,43700.22692047994,-0.011690983913204,-1.6041164475586234,-5.0,-694.6922549224037
2009-11-01,213.383,12224.4,147.94,42763.0,0,0,42808.0,42672.631956667996,555.0520383865548,41584.72996143035,43760.53395190564,0.7341867469879526,-1.5764710560954298,312.0,-683.4968212269741
2009-12-01,213.839,12280.2,146.666,42808.0,0,0,43192.0,42773.679285038386,554.7484773689761,41686.37226939519,43860.98630068158,2.5061704955382513,-0.6499788745228607,1056.0,-279.83877211034996
2010-01-01,214.738,12285.8,145.003,43192.0,0,0,43028.0,43025.28580338143,554.8760286304523,41937.72878726574,44112.84281949711,0.6008744242594233,0.3406631907808988,257.0,146.0736921597927
2010-02-01,214.728,12292.0,143.054,43028.0,0,0,43735.0,42912.41574908342,554.702389896237,41825.199064886794,43999.63243328004,3.8811429657252816,-0.1882607783852186,1634.0,-80.93962548208219
2010-03-01,215.55,12340.3,143.596,43735.0,0,0,43304.0,43419.64168424736,555.2117743100209,42331.42660659972,44507.856761895004,2.935653331431687,2.055705525922802,1235.0,874.6007573405441
2010-04-01,215.721,12447.1,145.40200000000002,43304.0,0,0,43186.0,43347.03294873803,554.289681089217,42260.625173803164,44433.440723672895,2.1235338630344325,1.875263960395035,898.0,797.9083981605727
2010-05-01,215.717,12540.3,147.037,43186.0,0,0,43224.0,43416.084526112856,554.262003703201,42329.73099885458,44502.43805337113,2.184397163120577,1.3209990618141543,924.0,566.0485729285938
2010-06-01,215.476,12544.3,147.703,43224.0,0,0,42920.0,43435.76837234956,554.2573496397343,42349.42396705568,44522.11277764344,0.9169997648718509,1.9435082485907085,390.0,828.0838629732389
