year,PPCE,PPDI,UMSCENT
2000,95850,26151,107.6
2001,99202,27186,89.2
2002,102082,28122,89.6
2003,106535,29172,87.6
2004,112277,30577,95.2
2005,118499,31533,88.6
2006,124182,33281,87.3
2007,129219,34603,85.6
2008,132003,35851,63.8
2009,128774,35520,66.3
2010,132456,36532,71.8
2011,137033,37964,67.4
2012,140405,39426,76.5
2013,143653,39077,79.2
2014,148613,40671,84.1
2015,152708,42013,92.9
2016,156824,42910,91.8
2017,162643,44710,96.8
2018,169520,47002,98.4
2019,174726,48907,96
2020,171475,52359,81.5
2021,193841,56283,77.6
2022,211622,56356,59
2023,223316,60944,65.4
2024,233087,63565,72.5
