,grocery_sales,grocery_sales_fcst,Actual YOY %,Forecast YOY %,Actual YOY Change,Forecast YOY Change
2007,491835.0,493146.7,,,,
2008,510355.0,514264.84,3.77,4.28,18520.0,21118.14
2009,510394.0,512157.97,0.01,-0.41,39.0,-2106.87
2010,521151.0,521216.95,2.11,1.77,10757.0,9058.98
2011,547528.0,546241.26,5.06,4.8,26377.0,25024.31
2012,562996.0,564836.81,2.83,3.4,15468.0,18595.55
2013,575841.0,572961.84,2.28,1.44,12845.0,8125.03
2014,601640.0,599466.09,4.48,4.63,25799.0,26504.25
2015,616330.0,619579.2,2.44,3.36,14690.0,20113.11
2016,625973.0,626769.98,1.56,1.16,9643.0,7190.79
2017,653694.0,649262.05,4.43,3.59,27721.0,22492.06
2018,671836.0,670590.44,2.78,3.29,18142.0,21328.39
2019,694349.0,691909.77,3.35,3.18,22513.0,21319.33
2020,744287.0,744286.27,7.19,7.57,49938.0,52376.5
2021,793226.0,795816.22,6.58,6.92,48939.0,51529.95
2022,858055.0,849007.87,8.17,6.68,64829.0,53191.65
2023,878357.0,880107.35,2.37,3.66,20302.0,31099.48
2024,893664.0,899449.41,1.74,2.2,15307.0,19342.07
2025,932426.52,932866.49,4.34,3.72,38762.52,33417.08
