,cpi_fah,rdi_adj,home_price,covid1,covid2,grocery_sales,y_fitted,residuals,y_forecast,actual_and_forecast,fitted_and_forecast,grocery_sales_lag1,y_fitted_ar,residuals_ar,y_forecast_ar
2004-02-01,183.7,11071.0,142.02700000000002,0,0,35445.0,34893.338713646466,-551.6612863535338,,35445.0,34893.338713646466,36177.0,35662.91867507951,217.91867507951247,
2004-03-01,184.1,11115.6,144.079,0,0,35951.0,35139.87338598272,-811.1266140172811,,35951.0,35139.87338598272,35445.0,35367.8637836522,-583.136216347797,
2004-04-01,184.3,11153.3,146.18,0,0,36120.0,35343.05327410005,-776.9467258999503,,36120.0,35343.05327410005,35951.0,35740.540632096556,-379.4593679034442,
2004-05-01,186.6,11208.9,148.336,0,0,36219.0,35843.72650431319,-375.273495686808,,36219.0,35843.72650431319,36120.0,36056.25531639199,-162.74468360801256,
2004-06-01,187.0,11215.8,150.52,0,0,36086.0,35973.76136604748,-112.23863395251828,,36086.0,35973.76136604748,36219.0,36169.60218377509,83.60218377508863,
2004-07-01,187.2,11240.5,152.338,0,0,36352.0,36127.36264861591,-224.6373513840881,,36352.0,36127.36264861591,36086.0,36165.24404270681,-186.7559572931932,
2004-08-01,187.0,11274.6,153.815,0,0,36149.0,36255.70274037856,106.70274037856143,,36149.0,36255.70274037856,36352.0,36371.64037373251,222.64037373250903,
2004-09-01,186.4,11279.6,155.109,0,0,36791.0,36240.473928924774,-550.5260710752264,,36791.0,36240.473928924774,36149.0,36253.69770205738,-537.3022979426169,
2004-10-01,187.7,11282.5,156.3,0,0,36656.0,36431.66209360263,-224.3379063973698,,36656.0,36431.66209360263,36791.0,36693.82084041858,37.82084041857888,
2004-11-01,188.6,11246.1,157.498,0,0,36916.0,36452.179113787475,-463.8208862125248,,36916.0,36452.179113787475,36656.0,36626.492007613495,-289.50799238650507,
2004-12-01,188.4,11659.0,158.671,0,0,37095.0,37780.35066986551,685.350669865511,,37095.0,37780.35066986551,36916.0,37372.28266602012,277.2826660201172,
2005-01-01,188.1,11226.5,160.131,0,0,37259.0,36408.17643054098,-850.8235694590185,,37259.0,36408.17643054098,37095.0,36851.80893788376,-407.19106211623875,
2005-02-01,187.7,11229.0,161.925,0,0,37220.0,36422.031561280826,-797.9684387191737,,37220.0,36422.031561280826,37259.0,36950.32212009948,-269.67787990051875,
2005-03-01,188.1,11268.8,164.577,0,0,37346.0,36670.43163540014,-675.5683645998579,,37346.0,36670.43163540014,37220.0,37040.74614562573,-305.2538543742703,
2005-04-01,190.0,11304.2,167.00099999999998,0,0,37666.0,37068.844049192216,-597.1559508077844,,37666.0,37068.844049192216,37346.0,37287.268755541685,-378.7312444583149,
2005-05-01,190.2,11352.7,169.546,0,0,37529.0,37319.193418134244,-209.80658186575602,,37529.0,37319.193418134244,37666.0,37578.17709187368,49.17709187368018,
2005-06-01,189.6,11375.5,172.017,0,0,37800.0,37394.454707015895,-405.5452929841049,,37800.0,37394.454707015895,37529.0,37538.03979469481,-261.9602053051931,
2005-07-01,190.0,11387.1,174.09900000000002,0,0,37654.0,37536.56408926634,-117.43591073365678,,37654.0,37536.56408926634,37800.0,37752.26089380305,98.26089380305348,
2005-08-01,189.8,11405.3,175.924,0,0,37935.0,37624.1404048063,-310.85959519370226,,37935.0,37624.1404048063,37654.0,37711.693438124195,-223.30656187580462,
2005-09-01,190.2,11365.2,177.612,0,0,38302.0,37590.023250669845,-711.9767493301551,,38302.0,37590.023250669845,37935.0,37851.657095848335,-450.3429041516647,
2005-10-01,190.6,11428.7,178.753,0,0,38177.0,37870.77292046705,-306.2270795329532,,38177.0,37870.77292046705,38302.0,38181.66328825734,4.663288257339445,
2005-11-01,191.4,11500.1,179.675,0,0,38144.0,38215.944080719724,71.9440807197243,,38144.0,38215.944080719724,38177.0,38266.91146170325,122.91146170324646,
2005-12-01,191.7,11535.2,180.108,0,0,38528.0,38374.441796423234,-153.55820357676566,,38528.0,38374.441796423234,38144.0,38319.7421635427,-208.25783645729825,
2006-01-01,192.5,11651.8,180.828,0,0,37936.0,38858.03673681387,922.0367368138686,,37936.0,38858.03673681387,38528.0,38749.98513145384,813.9851314538391,
2006-02-01,192.2,11702.8,181.5,0,0,38565.0,39005.8741062382,440.87410623820324,,38565.0,39005.8741062382,37936.0,38489.19157019051,-75.80842980949092,
2006-03-01,192.3,11747.5,182.749,0,0,38541.0,39195.620267181665,654.6202671816645,,38541.0,39195.620267181665,38565.0,38924.07467811524,383.0746781152411,
2006-04-01,191.8,11744.4,183.648,0,0,38557.0,39154.61102870823,597.6110287082265,,38557.0,39154.61102870823,38541.0,38893.48533594551,336.48533594550827,
2006-05-01,191.8,11736.8,184.38,0,0,38903.0,39151.322705057406,248.32270505740598,,38903.0,39151.322705057406,38557.0,38901.03015973129,-1.9698402687135967,
2006-06-01,192.4,11751.9,184.547,0,0,39070.0,39272.511229890864,202.51122989086434,,39070.0,39272.511229890864,38903.0,39146.55966441286,76.55966441286,
2006-07-01,192.8,11746.9,184.607,0,0,39032.0,39303.76460104158,271.7646010415774,,39032.0,39303.76460104158,39070.0,39252.49918991517,220.49918991517188,
2006-08-01,193.4,11737.0,184.404,0,0,39359.0,39334.59830935143,-24.401690648570366,,39359.0,39334.59830935143,39032.0,39244.01433989182,-114.9856601081774,
2006-09-01,194.3,11800.1,184.198,0,0,39099.0,39632.36336230415,533.3633623041533,,39099.0,39632.36336230415,39359.0,39558.15045563016,459.15045563015883,
2006-10-01,194.8,11853.7,184.053,0,0,39622.0,39856.07830439716,234.07830439716054,,39622.0,39856.07830439716,39099.0,39513.976776329524,-108.023223670476,
2006-11-01,194.6,11901.9,183.63,0,0,39618.0,39975.00181504966,357.0018150496617,,39618.0,39975.00181504966,39622.0,39858.30649306712,240.30649306711712,
2006-12-01,194.4,11958.6,183.229,0,0,39793.0,40121.673913879815,328.6739138798148,,39793.0,40121.673913879815,39618.0,39922.790265315954,129.79026531595446,
2007-01-01,195.918,11956.6,182.718,0,0,39875.0,40273.287245807485,398.2872458074853,,39875.0,40273.287245807485,39793.0,40085.06249798928,210.06249798928184,
2007-02-01,197.735,11996.0,182.471,0,0,40302.0,40598.5454116971,296.5454116971014,,40302.0,40598.5454116971,39875.0,40273.69346205159,-28.30653794841055,
2007-03-01,198.816,12035.1,182.193,0,0,40263.0,40838.26168578622,575.2616857862231,,40263.0,40838.26168578622,40302.0,40616.644289464304,353.64428946430417,
2007-04-01,199.25,12052.8,182.131,0,0,40060.0,40942.31115325037,882.3111532503681,,40060.0,40942.31115325037,40263.0,40641.11772949069,581.1177294906884,
2007-05-01,200.237,12059.9,181.885,0,0,40378.0,41070.16025201164,692.160252011643,,40378.0,41070.16025201164,40060.0,40584.1200014552,206.12000145520142,
2007-06-01,201.151,12053.3,181.54,0,0,40547.0,41143.16433125287,596.1643312528686,,40547.0,41143.16433125287,40378.0,40791.52374702451,244.52374702451198,
